Role;Name;Games;Wins;Loses;WR;K;D;A;KDA;CS;CS/M;G;G/M;KPAR;KS;GS;CP;;
Supp;Treatz;18;8;10;44.4%;0.83;3.22;9.06;3.07;30.83;0.97;7.2;226;82.4%;6.9%;13%;6;;
Supp;Vander;18;8;10;44.4%;0.94;3.28;8.83;2.98;33.11;1.02;7.5;233;69.3%;6.7%;13%;9;;
Supp;Tore;18;7;11;38.9%;0.61;3.78;6.56;1.9;47.61;1.41;7.5;222;72.1%;6.1%;13.2%;10;;
Supp;promisq;18;6;12;33.3%;0.61;4.17;7.33;1.91;37.33;1.12;7.4;223;62.2%;4.8%;13.2%;9;;
Supp;Labrov;18;5;13;27.8%;0.56;3.89;7;1.94;34.5;0.97;7.7;218;73.1%;5.4%;12.8%;8;;
Supp;Kaiser;17;10;7;58.8%;1.18;2.94;10.12;3.84;42.47;1.3;8;244;75.3%;7.8%;13.3%;7;;
Top;Odoamne;18;13;5;72.2%;2.83;2.17;5.78;3.97;245.17;7.61;12.4;384;55.6%;18.3%;20.3%;8;;
Top;Armut;18;12;6;66.7%;2.83;3.06;5.89;2.85;259.33;7.75;13.2;395;56.5%;18.3%;21.5%;9;;
Top;HiRit;18;12;6;66.7%;3.17;2.61;6.39;3.66;263.83;7.97;13.2;398;64.7%;21.4%;21.9%;8;;
Top;Wunder;18;12;6;66.7%;2.5;2.72;5.39;2.9;267.44;8.36;12.8;401;48.8%;15.5%;21.3%;10;;
Top;Adam;18;11;7;61.1%;3.44;3.44;5.56;2.61;245.67;7.72;12.8;403;52.8%;20.2%;21.4%;10;;
Top;Kryze;18;7;11;38.9%;1.72;2.44;5.39;2.91;246.44;7.56;11.8;361;62.4%;15.1%;21%;12;;
Top;WhiteKnight;18;7;11;38.9%;3.33;2.33;5;3.57;250.17;7.66;12.3;377;70.1%;28%;22.2%;6;;
Top;Jenax;18;5;13;27.8%;1.83;3.06;3.83;1.85;260.28;8.24;11.7;371;56.4%;18.2%;21.8%;13;;
Top;BrokenBlade;18;3;15;16.7%;1.94;2.61;3.78;2.19;241.28;7.85;11.3;369;64.8%;22%;22.2%;12;;
Top;SLT;9;4;5;44.4%;1.67;3.56;4.33;1.69;199.78;6.8;9.9;335;54%;15%;19.1%;6;;
Top;Szygenda;9;4;5;44.4%;1.11;3;7.78;2.96;234.89;7.18;11.5;350;53.7%;6.7%;19.1%;5;;
Mid;Larssen;18;13;5;72.2%;4.11;1.94;5.56;4.97;295.78;9.18;14.5;451;62.4%;26.5%;23.8%;8;;
Mid;Caps;18;12;6;66.7%;3.78;2.83;6.11;3.49;261.83;8.18;13;405;61.2%;23.4%;21.5%;12;;
